2026-07-31 09:27:15,598 | INFO | ingestion.reporter | {"step_name":"upload_to_S3_raw","status":"success","data":{"bucket":"raw-documents-179127603023-eu-north-1-an","key":"ba0dc05b-33a1-4b2d-8193-4264e58ac281"},"error_message":null}
2026-07-31 09:27:17,649 | INFO | httpx | HTTP Request: POST https://ixzdnyoeqpofdxlogguw.supabase.co/rest/v1/documents "HTTP/2 201 Created"
2026-07-31 09:27:17,704 | INFO | ingestion.reporter | {"step_name":"save_document_metadata","status":"success","data":{"document_id":"ba0dc05b-33a1-4b2d-8193-4264e58ac281","title":"Skills that Save Lives"},"error_message":null}
2026-07-31 09:27:17,708 | INFO | docling.datamodel.document | detected formats: [<InputFormat.PDF: 'pdf'>]
2026-07-31 09:27:17,713 | INFO | docling.document_converter | Going to convert document batch...
2026-07-31 09:27:17,713 | INFO | docling.pipeline.base_pipeline | Processing document DOC_1.pdf
2026-07-31 09:27:18,553 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 2, pages [7]: std::bad_alloc
2026-07-31 09:27:18,600 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 2, pages [8]: std::bad_alloc
2026-07-31 09:27:18,640 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 2, pages [9]: std::bad_alloc
2026-07-31 09:27:18,679 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 2, pages [10]: std::bad_alloc
2026-07-31 09:27:18,722 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 2, pages [11]: std::bad_alloc
2026-07-31 09:27:18,756 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 2, pages [12]: std::bad_alloc
2026-07-31 09:27:18,799 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 2, pages [13]: std::bad_alloc
2026-07-31 09:27:18,843 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 2, pages [14]: std::bad_alloc
2026-07-31 09:27:18,888 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 2, pages [15]: std::bad_alloc
2026-07-31 09:27:18,940 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 2, pages [16]: std::bad_alloc
2026-07-31 09:27:19,000 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 2, pages [17]: std::bad_alloc
2026-07-31 09:27:19,039 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 2, pages [18]: std::bad_alloc
2026-07-31 09:27:19,083 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 2, pages [19]: std::bad_alloc
2026-07-31 09:27:19,128 | ERROR | docling.pipeline.standard_pdf_pipeline | Stage preprocess failed for run 2, pages [20]: std::bad_alloc
2026-07-31 09:27:33,253 | INFO | docling.document_converter | Finished converting document DOC_1.pdf in 15.55 sec.
2026-07-31 09:27:33,254 | INFO | ingestion.reporter | {"step_name":"convert","status":"success","data":{"file":"documents\\DOC_1.pdf"},"error_message":null}
2026-07-31 09:27:38,050 | INFO | ingestion.reporter | {"step_name":"classify","status":"success","data":{"title":"Diagnosis and Treatment of Malaria","category_scores":{"FEVER":0.752471923828125,"CHILD_HEALTH":0.09655334800481796,"RESPIRATORY":0.08232960850000381,"GASTROINTESTINAL":0.06864506751298904},"role_scores":{"DOCTOR":0.6561464071273804,"COMMUNITY_HEALTH_WORKER":0.34385359287261963}},"error_message":null}
2026-07-31 09:27:40,519 | INFO | ingestion.reporter | {"step_name":"upload_to_S3_parsed","status":"success","data":{"bucket":"parsed-documents-179127603023-eu-north-1-an","key":"a17f6fc2-5139-4f25-97ef-18773227fa22"},"error_message":null}
2026-07-31 09:27:44,487 | INFO | ingestion.reporter | {"step_name":"upload_to_S3_raw","status":"success","data":{"bucket":"raw-documents-179127603023-eu-north-1-an","key":"a17f6fc2-5139-4f25-97ef-18773227fa22"},"error_message":null}
2026-07-31 09:27:45,613 | INFO | httpx | HTTP Request: POST https://ixzdnyoeqpofdxlogguw.supabase.co/rest/v1/documents "HTTP/2 201 Created"
2026-07-31 09:27:45,613 | INFO | ingestion.reporter | {"step_name":"save_document_metadata","status":"success","data":{"document_id":"a17f6fc2-5139-4f25-97ef-18773227fa22","title":"Diagnosis and Treatment of Malaria"},"error_message":null}
